新品	新品
しんぴん	新品
シンピン	新品
brand new	新品
new	新品

未使用	未使用
みしよう	未使用
ミシヨウ	未使用
unused	未使用
未着用	未使用

未開封	未開封
みかいふう	未開封
ミカイフウ	未開封
sealed	未開封
factory sealed	未開封

ほぼ新品	ほぼ新品
新品同様	ほぼ新品
like new	ほぼ新品
almost new	ほぼ新品

極美品	極美品
極上美品	極美品
mint	極美品
excellent	極美品

美品	美品
びひん	美品
ビヒン	美品
綺麗	美品
きれい	美品
clean	美品
good condition	美品

中古	中古
ちゅうこ	中古
used	中古
second hand	中古

使用感あり	使用感あり
使用済み	使用感あり
使用感有	使用感あり
visible wear	使用感あり
used item	使用感あり

傷あり	傷あり
きずあり	傷あり
キズあり	傷あり
擦り傷あり	傷あり
scratched	傷あり

汚れあり	汚れあり
よごれあり	汚れあり
シミあり	汚れあり
dirty	汚れあり
stained	汚れあり

訳あり	訳あり
わけあり	訳あり
難あり	訳あり
一部不具合	訳あり
as is	訳あり

動作未確認	動作未確認
未確認	動作未確認
untested	動作未確認
operation unchecked	動作未確認

故障	故障
こしょう	故障
壊れています	故障
broken	故障
defective	故障

ジャンク	ジャンク
junk	ジャンク
部品取り	ジャンク
for parts	ジャンク